[2024-05-22 02:04:47,116::train::INFO] [Validation] Iter 47000 | reward 0.662725
[2024-05-22 02:25:05,977::train::INFO] [Validation] Iter 47200 | reward 0.696752
[2024-05-22 02:45:12,499::train::INFO] [Validation] Iter 47400 | reward 0.649023
[2024-05-22 03:05:26,098::train::INFO] [Validation] Iter 47600 | reward 0.684577
[2024-05-22 03:25:41,063::train::INFO] [Validation] Iter 47800 | reward 0.686180
[2024-05-22 03:45:47,880::train::INFO] [Validation] Iter 48000 | reward 0.635887
[2024-05-22 04:05:50,063::train::INFO] [Validation] Iter 48200 | reward 0.621868
[2024-05-22 04:26:00,608::train::INFO] [Validation] Iter 48400 | reward 0.734213
[2024-05-22 04:46:09,898::train::INFO] [Validation] Iter 48600 | reward 0.715537
[2024-05-22 05:06:21,249::train::INFO] [Validation] Iter 48800 | reward 0.647405
[2024-05-22 05:26:24,158::train::INFO] [Validation] Iter 49000 | reward 0.691552
[2024-05-22 05:46:29,036::train::INFO] [Validation] Iter 49200 | reward 0.656724
[2024-05-22 06:06:37,112::train::INFO] [Validation] Iter 49400 | reward 0.732973
[2024-05-22 06:26:40,785::train::INFO] [Validation] Iter 49600 | reward 0.694005
[2024-05-22 06:46:44,089::train::INFO] [Validation] Iter 49800 | reward 0.737921
[2024-05-22 07:06:48,631::train::INFO] [Validation] Iter 50000 | reward 0.670586
[2024-05-22 07:26:51,438::train::INFO] [Validation] Iter 50200 | reward 0.644409
[2024-05-22 07:47:22,477::train::INFO] [Validation] Iter 50400 | reward 0.670783
[2024-05-22 08:07:43,021::train::INFO] [Validation] Iter 50600 | reward 0.648867
[2024-05-22 08:28:26,441::train::INFO] [Validation] Iter 50800 | reward 0.561028
[2024-05-22 08:49:21,221::train::INFO] [Validation] Iter 51000 | reward 0.638471
[2024-05-22 09:14:11,730::train::INFO] [Validation] Iter 51200 | reward 0.670296
[2024-05-22 09:38:45,663::train::INFO] [Validation] Iter 51400 | reward 0.651597
[2024-05-22 10:01:15,520::train::INFO] [Validation] Iter 51600 | reward 0.664144
[2024-05-22 10:22:52,452::train::INFO] [Validation] Iter 51800 | reward 0.682672
[2024-05-22 10:48:34,620::train::INFO] [Validation] Iter 52000 | reward 0.769105
[2024-05-22 10:48:34,671::train::INFO] [Validation] New Best model!
[2024-05-22 11:13:12,361::train::INFO] [Validation] Iter 52200 | reward 0.660881
[2024-05-22 11:34:39,035::train::INFO] [Validation] Iter 52400 | reward 0.699390
[2024-05-22 11:55:48,417::train::INFO] [Validation] Iter 52600 | reward 0.640760
[2024-05-22 12:17:09,485::train::INFO] [Validation] Iter 52800 | reward 0.638724
[2024-05-22 12:38:57,949::train::INFO] [Validation] Iter 53000 | reward 0.717797
[2024-05-22 13:06:47,369::train::INFO] [Validation] Iter 53200 | reward 0.661279
[2024-05-22 13:30:35,402::train::INFO] [Validation] Iter 53400 | reward 0.698738
[2024-05-22 13:53:06,007::train::INFO] [Validation] Iter 53600 | reward 0.705753
